자동차등록용도별,차종별,규모별,휘발유검사대수 (대),휘발유부적합률 (퍼센트),경유검사대수 (대),경유부적합률 (퍼센트),엘피지검사대수 (대),엘피지부적합률 (퍼센트),전기검사대수 (대),전기부적합률 (퍼센트),씨엔지검사대수 (대),씨엔지부적합률 (퍼센트),엘엔지검사대수(대),엘엔지부적합률 (퍼센트),하이브리드검사대수 (대),하이브리드부적합률 (퍼센트),수소전기검사대수 (대),수소전기부적합률 (퍼센트),기타검사대수 (대),기타부적합률 (퍼센트)
자가용,승용차,경형,784230,22%,14,36%,35693,31%,1829,14%,0,0%,0,0%,0,0%,0,0%,0,0%
자가용,승용차,소형,56470,29%,7976,41%,89,35%,139,11%,11,27%,0,0%,872,18%,0,0%,0,0%
자가용,승용차,중형,2381578,22%,1648377,20%,442699,30%,36384,8%,313,34%,0,0%,133913,16%,4052,4%,4,0%
자가용,승용차,대형,1295388,16%,741295,18%,130027,23%,0,0%,1278,32%,0,0%,117792,7%,0,0%,3,33%
자가용,승합차,경형,5,40%,0,0%,14437,26%,0,0%,0,0%,0,0%,0,0%,0,0%,89,9%
자가용,승합차,소형,37,27%,410,39%,119,41%,0,0%,0,0%,0,0%,0,0%,0,0%,21,14%
자가용,승합차,중형,3328,9%,676573,20%,37804,19%,292,13%,3,100%,0,0%,0,0%,0,0%,7164,10%
자가용,승합차,대형,11,9%,22506,16%,0,0%,26,4%,371,13%,0,0%,7,14%,10,0%,63,11%
자가용,화물차,경형,103,29%,6,67%,46968,26%,2239,12%,0,0%,0,0%,0,0%,0,0%,2510,10%
자가용,화물차,소형,18564,7%,2146732,27%,46247,13%,59716,5%,4,25%,0,0%,81,10%,0,0%,10942,10%
자가용,화물차,중형,517,14%,399719,27%,2698,29%,1,0%,0,0%,0,0%,0,0%,0,0%,471,11%
자가용,화물차,대형,4,0%,184809,24%,0,0%,0,0%,507,15%,1,0%,0,0%,0,0%,2635,13%
자가용,특수차,경형,2,0%,2,50%,91,9%,1,100%,0,0%,0,0%,0,0%,0,0%,4,0%
자가용,특수차,소형,129,16%,49732,17%,827,10%,55,11%,0,0%,0,0%,1,0%,0,0%,385,11%
자가용,특수차,중형,35,6%,7644,20%,15,7%,3,33%,0,0%,0,0%,0,0%,0,0%,2,0%
자가용,특수차,대형,0,0%,4339,20%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,21,10%
영업용,승용차,경형,45205,13%,0,0%,1808,13%,259,6%,0,0%,0,0%,0,0%,0,0%,0,0%
영업용,승용차,소형,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,17,0%,0,0%,0,0%
영업용,승용차,중형,158698,8%,69226,7%,97692,9%,24286,4%,0,0%,0,0%,35295,7%,351,1%,0,0%
영업용,승용차,대형,126419,6%,114597,6%,35244,7%,1,0%,0,0%,0,0%,21853,6%,0,0%,0,0%
영업용,승합차,경형,0,0%,2,50%,127,11%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
영업용,승합차,소형,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
영업용,승합차,중형,270,6%,38259,18%,1248,6%,290,8%,1035,10%,0,0%,0,0%,0,0%,5,0%
영업용,승합차,대형,0,0%,42332,23%,0,0%,4373,4%,22388,7%,0,0%,273,11%,263,5%,0,0%
영업용,화물차,경형,0,0%,1,100%,8777,29%,22,9%,0,0%,0,0%,0,0%,0,0%,157,17%
영업용,화물차,소형,4,25%,136598,31%,1934,20%,15952,9%,0,0%,0,0%,1,100%,0,0%,22,9%
영업용,화물차,중형,0,0%,114121,28%,42,31%,0,0%,0,0%,0,0%,0,0%,0,0%,36,14%
영업용,화물차,대형,4,0%,275394,24%,1,0%,0,0%,28,11%,0,0%,0,0%,5,0%,21731,14%
영업용,특수차,경형,0,0%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
영업용,특수차,소형,15,7%,19190,22%,80,18%,3,33%,0,0%,0,0%,0,0%,0,0%,0,0%
영업용,특수차,중형,0,0%,19892,21%,7,29%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
영업용,특수차,대형,0,0%,64591,19%,0,0%,0,0%,0,0%,21,19%,0,0%,0,0%,2,0%
