model,fuel_type,city_efficiency,highway_efficiency,electric_range,displacement,year
스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 7인 18인치(nC),gasoline,13.5,11.6,,1598.0,2024
스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 9인 18인치(nC),gasoline,13.5,11.6,,1598.0,2024
스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 7인 18인치(C),gasoline,13.1,11.6,,1598.0,2024
스타리아(US4)라운지 하이브리드 1.6T-GDI 모빌리티 9인 18인치(C),gasoline,13.1,11.6,,1598.0,2024
"G80(PE) 2.5T-GDI RWD 20""",gasoline,8.6,12.5,,2497.0,2024
"G80(PE) 2.5T-GDI AWD 20""",gasoline,8.1,12.0,,2497.0,2024
아반떼(PE) 1.6 가솔린 15인치 타이어(25MY),gasoline,13.4,17.4,,1598.0,2024
한국상용0.9톤롱바디EV내장탑트럭,electric,2.6,1.7,137.0,,2024
캐스퍼(AX1) EV 항속형 15인치,electric,6.2,4.9,315.0,,2024
캐스퍼(AX1) EV 항속형 17인치,electric,5.7,4.7,295.0,,2024
"GV70 FL 3.5T-GDI RWD 21""",gasoline,7.5,10.1,,3470.0,2024
"GV70 FL 3.5T-GDI RWD 21"" 스포츠패키지",gasoline,7.5,10.1,,3470.0,2024
"GV70 FL 2.5T-GDI AWD 21""",gasoline,7.9,10.8,,2497.0,2024
"GV70 FL 2.5T-GDI AWD 19""",gasoline,8.2,11.4,,2497.0,2024
"GV70 FL 2.5T-GDI RWD 18""(C)",gasoline,8.7,12.4,,2497.0,2024
"GV70 FL 2.5T-GDI RWD 18""(nC)",gasoline,8.9,12.5,,2497.0,2024
"GV70 FL 2.5T-GDI AWD 19"" 스포츠패키지",gasoline,8.2,11.4,,2497.0,2024
"GV70 FL 2.5T-GDI AWD 21"" 스포츠패키지",gasoline,7.9,10.8,,2497.0,2024
"GV70 FL 3.5T-GDI RWD 21"" 스포츠패키지(썸머)",gasoline,7.5,10.1,,3470.0,2024
"GV70 FL 2.5T-GDI RWD 21""",gasoline,8.5,11.6,,2497.0,2024
"GV70 FL 2.5T-GDI RWD 19""",gasoline,8.5,11.8,,2497.0,2024
"GV70 FL 3.5T-GDI AWD 21"" ",gasoline,7.3,9.8,,3470.0,2024
"GV70 FL 3.5T-GDI AWD 21"" 스포츠패키지",gasoline,7.3,9.8,,3470.0,2024
한국상용1톤롱바디EV트럭,electric,3.2,2.3,177.0,,2024
"GV70 FL 2.5T-GDI AWD 18""",gasoline,8.4,11.8,,2497.0,2024
"GV70 FL 2.5T-GDI RWD 21"" 스포츠패키지",gasoline,8.5,11.6,,2497.0,2024
"GV70 FL 2.5T-GDI RWD 19"" 스포츠패키지",gasoline,8.5,11.8,,2497.0,2024
"GV70 FL 3.5T-GDI AWD 19""",gasoline,7.5,10.2,,3470.0,2024
"GV70 FL 3.5T-GDI RWD 19""",gasoline,7.8,10.9,,3470.0,2024
"GV70 FL 3.5T-GDI AWD 21"" 스포츠패키지(썸머)",gasoline,7.3,9.8,,3470.0,2024
아이오닉5 N-line RWD,electric,5.2,4.1,441.0,,2024
아이오닉5 N-line AWD,electric,4.8,3.9,411.0,,2024
아이오닉5 개조 항속형 AWD 19인치,electric,5.2,4.3,451.0,,2024
아이오닉5 개조 항속형 AWD 20인치,electric,4.9,4.0,425.0,,2024
아이오닉5 개조 항속형 RWD 19인치(nC),electric,5.8,4.6,485.0,,2024
포터일렉트릭 24MY,electric,3.6,2.7,211.0,,2024
아이오닉5 개조 항속형 RWD 20인치,electric,5.3,4.4,453.0,,2024
G90 e-S/C 3.5T-GDI AWD 4인 21인치_24MY,gasoline,7.2,10.1,,3470.0,2024
G90 e-S/C 3.5T-GDI(LWB) AWD 5인 20인치_24MY,gasoline,7.1,10.0,,3470.0,2024
G90 e-SC 3.5T-GDI(LWB) AWD 4인 20인치_24MY,gasoline,7.1,10.0,,3470.0,2024
G90 e-S/C 3.5T-GDI 2WD 5인 20인치(nC)_24MY,gasoline,7.8,11.2,,3470.0,2024
G90 e-S/C 3.5T-GDI 2WD 5인 20인치(C)_24MY,gasoline,7.8,11.2,,3470.0,2024
G90 e-S/C 3.5T-GDI 2WD 4인 20인치(nC)_24MY,gasoline,7.8,11.2,,3470.0,2024
G90 e-S/C 3.5T-GDI 2WD 4인 20인치(C)_24MY,gasoline,7.8,11.2,,3470.0,2024
G90 e-S/C 3.5T-GDI 2WD 4/5인 블랙라인,gasoline,7.3,10.4,,3470.0,2024
G90 e-S/C 3.5T-GDI 2WD 5인 21인치_24MY,gasoline,7.6,10.8,,3470.0,2024
G90 e-S/C 3.5T-GDI 2WD 4인 21인치_24MY,gasoline,7.6,10.8,,3470.0,2024
G90 e-S/C 3.5T-GDI AWD 5인 20인치_24MY,gasoline,7.3,10.3,,3470.0,2024
G90 e-S/C 3.5T-GDI AWD 4인 20인치_24MY,gasoline,7.3,10.3,,3470.0,2024
G90 e-S/C 3.5T-GDI AWD 4/5인 블랙라인,gasoline,7.1,10.0,,3470.0,2024
